company,score,Sector,url
Fedders Holding Ltd,39,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/511628/consolidated/
Octal Credit Capital Ltd,39,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/538894/consolidated/
TCFC Finance Ltd,39,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/532284/
Paragon Finance Ltd,39,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/531255/
Mega Corporation Ltd,39,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/531417/
Abhinav Capital Services Ltd,38,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/532057/
Purple Finance Ltd,38,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/544191/
CitiPort Financial Services Ltd,38,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/531235/
Leading Leasing Finance & Investment Company Ltd,38,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/540360/
Neil Industries Ltd,38,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/539016/
Kreon Finnancial Services Ltd,38,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/530139/
Abirami Financial Services (India) Ltd,38,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/511756/
GSB Finance Ltd,38,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/511543/
TTI Enterprise Ltd,38,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/538597/
Odyssey Corporation Ltd,38,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/531996/consolidated/
Capital India Finance Ltd,37,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/CIFL/consolidated/
Assam Entrade Ltd,37,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/542911/consolidated/
NCL Research and Financial Services Ltd,36,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/530557/
Marg Techno-Projects Ltd,36,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/540254/
Som Datt Finance Corporation Ltd,36,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/511571/
BCL Enterprises Ltd,36,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/539621/
Cubical Financial Services Ltd,36,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/511710/
United Credit Ltd,36,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/531091/
Cindrella Financial Services Ltd,36,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/531283/consolidated/
Capital Trade Links Ltd,35,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/538476/
Advik Capital Ltd,34,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/539773/consolidated/
Acme Resources Ltd,34,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/539391/consolidated/
Prime Capital Market Ltd,34,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/535514/
Tokyo Finance Ltd,34,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/531644/
Everlon Financials Ltd,34,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/514358/
Easun Capital Markets Ltd,34,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/542906/
Dhruva Capital Services Ltd,34,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/531237/
Vintage Securities Ltd,34,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/531051/
Decillion Finance Ltd,34,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/539190/
